location,location_lat,location_lon,line_num,color
Fribourg,46.803268,7.151023,1,ff53B401
Fribourg,46.803268,7.151023,11,ff0fa381
Fribourg,46.803268,7.151023,3,ffFFD012
Fribourg,46.803268,7.151023,2,ffD83B38
Fribourg,46.803268,7.151023,5,ff2F7CE3
Fribourg,46.803268,7.151023,4,ffF08B32
Fribourg,46.803268,7.151023,7,ff833816
Fribourg,46.803268,7.151023,6,ff3F2072
Fribourg,46.803268,7.151023,9,ffa83989
Fribourg,46.803268,7.151023,8,ffe33988
Geneva,46.210203,6.142452,DN,ffFF9BAA
Geneva,46.210203,6.142452,TO,ffE2001D
Geneva,46.210203,6.142452,56,ff009999
Geneva,46.210203,6.142452,NA,ff5A1E82
Geneva,46.210203,6.142452,54,ff009999
Geneva,46.210203,6.142452,42,ff99CCCC
Geneva,46.210203,6.142452,NE,ffB82F89
Geneva,46.210203,6.142452,61,ffFF9BAA
Geneva,46.210203,6.142452,53,ff99CCCC
Geneva,46.210203,6.142452,X,ff003399
Geneva,46.210203,6.142452,25,ff805A28
Geneva,46.210203,6.142452,NJ,ffD2DB4A
Geneva,46.210203,6.142452,27,ff009DBC
Geneva,46.210203,6.142452,21,ff663333
Geneva,46.210203,6.142452,22,ff663399
Geneva,46.210203,6.142452,23,ffCC3399
Geneva,46.210203,6.142452,46,ff009999
Geneva,46.210203,6.142452,47,ff00B0A4
Geneva,46.210203,6.142452,44,ff009999
Geneva,46.210203,6.142452,45,ff99CCCC
Geneva,46.210203,6.142452,28,ffFFCC00
Geneva,46.210203,6.142452,43,ff99CCCC
Geneva,46.210203,6.142452,41,ff009999
Geneva,46.210203,6.142452,1,ff663399
Geneva,46.210203,6.142452,NC,ff5E3285
Geneva,46.210203,6.142452,3,ffCC3399
Geneva,46.210203,6.142452,2,ffCCCC33
Geneva,46.210203,6.142452,5,ff0099FF
Geneva,46.210203,6.142452,4,ffCC0033
Geneva,46.210203,6.142452,7,ff009933
Geneva,46.210203,6.142452,6,ff0099CC
Geneva,46.210203,6.142452,9,ffCC0033
Geneva,46.210203,6.142452,8,ff993333
Geneva,46.210203,6.142452,ND,ff84471C
Geneva,46.210203,6.142452,NT,ff00ACE7
Geneva,46.210203,6.142452,A,ffFF6600
Geneva,46.210203,6.142452,C,ffFF6600
Geneva,46.210203,6.142452,B,ffFF6600
Geneva,46.210203,6.142452,E,ffFF6600
Geneva,46.210203,6.142452,D,ffFF9999
Geneva,46.210203,6.142452,G,ffFF9999
Geneva,46.210203,6.142452,F,ffFF9999
Geneva,46.210203,6.142452,K,ffFF9999
Geneva,46.210203,6.142452,M,ffFF9BAA
Geneva,46.210203,6.142452,L,ffFF6600
Geneva,46.210203,6.142452,O,ffFF9BAA
Geneva,46.210203,6.142452,NP,ff00B0A4
Geneva,46.210203,6.142452,S,ff003399
Geneva,46.210203,6.142452,NK,ffF5A300
Geneva,46.210203,6.142452,T,ffFF9BAA
Geneva,46.210203,6.142452,W,ff003399
Geneva,46.210203,6.142452,V,ffFF6600
Geneva,46.210203,6.142452,Y,ffFF9999
Geneva,46.210203,6.142452,NO,ffB82F89
Geneva,46.210203,6.142452,Z,ffFF9999
Geneva,46.210203,6.142452,NM,ffF5A300
Geneva,46.210203,6.142452,11,ff993399
Geneva,46.210203,6.142452,10,ff006633
Geneva,46.210203,6.142452,12,ffFF9900
Geneva,46.210203,6.142452,15,ff993333
Geneva,46.210203,6.142452,14,ff663399
Geneva,46.210203,6.142452,19,ffFFCC00
Geneva,46.210203,6.142452,18,ffCC3399
Geneva,46.210203,6.142452,31,ff009999
Geneva,46.210203,6.142452,49,ff009999
Geneva,46.210203,6.142452,51,ff009999
Geneva,46.210203,6.142452,36,ff666666
Geneva,46.210203,6.142452,35,ff666666
Geneva,46.210203,6.142452,34,ff99CCCC
Geneva,46.210203,6.142452,33,ff009999
Geneva,46.210203,6.142452,NS,ff008CBE
Geneva,46.210203,6.142452,32,ff666666
Geneva,46.210203,6.142452,TT,ffFD0000
Geneva,46.210203,6.142452,57,ff99CCCC
Zurich,47.378177,8.540192,11,ff00AB4D
Zurich,47.378177,8.540192,10,ffED3896
Zurich,47.378177,8.540192,13,ffFED304
Zurich,47.378177,8.540192,12,ff78D0E2
Zurich,47.378177,8.540192,15,ffEE1D23
Zurich,47.378177,8.540192,14,ff00AEEF
Zurich,47.378177,8.540192,17,ffA1276F
Zurich,47.378177,8.540192,3,ff00AB4D
Zurich,47.378177,8.540192,2,ffEE1D23
Zurich,47.378177,8.540192,5,ff946237
Zurich,47.378177,8.540192,4,ff48479D
Zurich,47.378177,8.540192,7,ff231F20
Zurich,47.378177,8.540192,6,ffD99E4E
Zurich,47.378177,8.540192,9,ff48479D
Zurich,47.378177,8.540192,8,ffA6CE39
Basel,47.548150,7.590337,21,ff00a191
Basel,47.548150,7.590337,11,ffe30910
Basel,47.548150,7.590337,10,ffffca0a
Basel,47.548150,7.590337,15,ff00963a
Basel,47.548150,7.590337,14,ffeb7b05
Basel,47.548150,7.590337,17,ff00a3e3
Basel,47.548150,7.590337,16,ffaecc06
Basel,47.548150,7.590337,1,ff804b2f
Basel,47.548150,7.590337,3,ff3c4796
Basel,47.548150,7.590337,2,ffa8834a
Basel,47.548150,7.590337,6,ff006ab0
Basel,47.548150,7.590337,8,ffeb6ea2
Biel,47.133469,7.243314,1,ffd92a31
Biel,47.133469,7.243314,11,ff9f2e36
Biel,47.133469,7.243314,2,ff293e80
Biel,47.133469,7.243314,5,ff116630
Biel,47.133469,7.243314,4,ffe4822e
Biel,47.133469,7.243314,7,ffdf4891
Biel,47.133469,7.243314,6,ff9fc841
Biel,47.133469,7.243314,8,ff7c4391
Lausanne,46.517593,6.629667,54,ffb86749
Lausanne,46.517593,6.629667,48,ff7d9ed1
Lausanne,46.517593,6.629667,22,ffc9562c
Lausanne,46.517593,6.629667,60,ffcee3ac
Lausanne,46.517593,6.629667,47,fffccd7c
Lausanne,46.517593,6.629667,62,ffe670a1
Lausanne,46.517593,6.629667,38,ffb88432
Lausanne,46.517593,6.629667,64,ffb39b04
Lausanne,46.517593,6.629667,49,ffbf93c2
Lausanne,46.517593,6.629667,66,fff28046
Lausanne,46.517593,6.629667,32,ff9c86bd
Lausanne,46.517593,6.629667,25,ffacc3e3
Lausanne,46.517593,6.629667,13,fffab514
Lausanne,46.517593,6.629667,12,ff8c9c7b
Lausanne,46.517593,6.629667,21,ff8b519e
Lausanne,46.517593,6.629667,17,ffacd48a
Lausanne,46.517593,6.629667,16,ffbdb004
Lausanne,46.517593,6.629667,33,ff4b7320
Lausanne,46.517593,6.629667,18,ff6ed1f5
Lausanne,46.517593,6.629667,31,ff519cb8
Lausanne,46.517593,6.629667,45,ff008d91
Lausanne,46.517593,6.629667,42,ffffd903
Lausanne,46.517593,6.629667,36,ff9db5bd
Lausanne,46.517593,6.629667,41,ffb31e8b
Lausanne,46.517593,6.629667,1,ffeb1c20
Lausanne,46.517593,6.629667,46,ffb39b04
Lausanne,46.517593,6.629667,2,fffcec00
Lausanne,46.517593,6.629667,4,ff00a34c
Lausanne,46.517593,6.629667,7,ff009c2f
Lausanne,46.517593,6.629667,6,ff00aeed
Lausanne,46.517593,6.629667,9,ffeb0273
Lausanne,46.517593,6.629667,8,ff8d52a1
Lausanne,46.517593,6.629667,65,fffab514
Bulle,46.617780,7.054021,201,ffe31c19
Bulle,46.617780,7.054021,203,ff0070b5
Bulle,46.617780,7.054021,202,ff27a143
Vienna,48.2206849,16.3800599,U1,ffed1f22
Vienna,48.2206849,16.3800599,U2,ff9e65a8
Vienna,48.2206849,16.3800599,U3,fff58122
Vienna,48.2206849,16.3800599,U4,ff00a34c
Vienna,48.2206849,16.3800599,U5,ff08bfb0
Vienna,48.2206849,16.3800599,U6,ff966839
